departure,arrival
'airport': 'Jandakot,'airport': 'Karratha
'airport': 'Shuangliu,'airport': 'Guangzhou Baiyun International
'airport': 'Shuangliu,'airport': 'Guangzhou Baiyun International
'airport': 'Shuangliu,'airport': 'Guangzhou Baiyun International
'airport': 'Shuangliu,'airport': 'Guangzhou Baiyun International
'airport': 'Chongqing Jiangbei International,'airport': 'Beijing Capital International
'airport': 'Shuangliu,'airport': 'Hangzhou
'airport': 'Chongqing Jiangbei International,'airport': 'Beijing Capital International
'airport': 'Franz Josef Strauss,'airport': 'Gardermoen
'airport': 'Barajas,'airport': 'Santiago De Compostela
'airport': 'Enshi,'airport': 'Tianhe International
'airport': 'Enshi,'airport': 'Tianhe International
'airport': 'Guangzhou Baiyun International,'airport': 'Urumqi
'airport': 'Guangzhou Baiyun International,'airport': 'Urumqi
'airport': 'Guangzhou Baiyun International,'airport': 'Urumqi
'airport': 'Guangzhou Baiyun International,'airport': 'Taiyuan
'airport': 'Guangzhou Baiyun International,'airport': 'Hangzhou
'airport': 'Edinburgh,'airport': 'Charleroi Brussels South
'airport': 'Phuket International,'airport': 'Koh Samui
'airport': 'Phuket International,'airport': 'Koh Samui
'airport': Non,'airport': 'Aksu
'airport': 'Guilin,'airport': 'Jinan
'airport': 'Guilin,'airport': 'Jinan
'airport': 'Guilin,'airport': 'Jinan
'airport': 'Guilin,'airport': 'Jinan
'airport': 'Guilin,'airport': 'Jinan
'airport': 'Netaji Subhas Chandra,'airport': 'Lohegaon
'airport': 'Netaji Subhas Chandra,'airport': 'Chhatrapati Shivaji International (Sahar International)
'airport': 'Netaji Subhas Chandra,'airport': 'Chhatrapati Shivaji International (Sahar International)
'airport': 'Netaji Subhas Chandra,'airport': 'Chhatrapati Shivaji International (Sahar International)
'airport': 'Netaji Subhas Chandra,'airport': 'Chhatrapati Shivaji International (Sahar International)
'airport': 'Netaji Subhas Chandra,'airport': 'Surat
'airport': 'Netaji Subhas Chandra,'airport': 'Port Blair
'airport': 'Netaji Subhas Chandra,'airport': 'Sanganeer
'airport': 'Adelaide International Airport,'airport': 'Perth International
'airport': 'Adelaide International Airport,'airport': 'Perth International
'airport': 'Adelaide International Airport,'airport': 'Perth International
'airport': 'Adelaide International Airport,'airport': 'Alice Springs
'airport': 'Adelaide International Airport,'airport': 'Brisbane International
'airport': Non,'airport': 'Shanghai Hongqiao International
'airport': 'Ramon Villeda Morales International,'airport': 'Miami International Airport
'airport': 'Pyrzowice,'airport': 'Salalah
'airport': 'Perth International,'airport': 'Launceston
'airport': 'Perth International,'airport': 'Launceston
'airport': 'Perth International,'airport': 'Port Hedland
'airport': 'Perth International,'airport': 'Adelaide International Airport
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Perth International
'airport': 'Dubai,'airport': 'Dublin International
'airport': 'Dubai,'airport': 'Manchester Airport
'airport': 'Dubai,'airport': 'Manchester Airport
'airport': 'Dubai,'airport': 'Vnukovo
'airport': 'Dubai,'airport': 'Glasgow International
'airport': 'Dubai,'airport': 'Newcastle Airport
'airport': 'Dubai,'airport': 'Mohamed V
'airport': 'Dubai,'airport': 'Mohamed V
'airport': 'Dubai,'airport': 'Capodichino
'airport': 'Dubai,'airport': 'Gardermoen
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Doha International,'airport': 'Cape Town International
'airport': 'Oenpelli,'airport': 'Maningrida
'airport': 'Shanghai Hongqiao International,'airport': 'Nanning
'airport': Non,'airport': 'Nanning
'airport': 'Lech Walesa,'airport': 'Gardermoen
'airport': 'Frankfurt International Airport,'airport': 'Lech Walesa
'airport': 'Frankfurt International Airport,'airport': 'Lech Walesa
'airport': 'Frankfurt International Airport,'airport': 'Lech Walesa
'airport': 'Frankfurt International Airport,'airport': 'Lech Walesa
'airport': 'Bhubaneswar,'airport': 'Netaji Subhas Chandra
'airport': 'Changsha,'airport': 'Dalian
'airport': 'Fuzhou,'airport': 'Changsha
'airport': 'Fuzhou,'airport': 'Changsha
'airport': 'Fuzhou,'airport': 'Changsha
'airport': 'Fuzhou,'airport': 'Changsha
'airport': Non,'airport': 'Changsha
'airport': Non,'airport': 'Changsha
'airport': Non,'airport': 'Changsha
'airport': Non,'airport': 'Changsha
'airport': 'Qingdao,'airport': 'Changsha
'airport': 'Qingdao,'airport': 'Changsha
'airport': 'Qingdao,'airport': 'Changsha
'airport': 'Qingdao,'airport': 'Changsha
'airport': 'Shenzhen,'airport': 'Chongqing Jiangbei International
'airport': 'Shenzhen,'airport': 'Shanghai Hongqiao International
'airport': 'Zurich,'airport': 'Sharm el-Sheikh International Airport
'airport': 'Zurich,'airport': 'Sharm el-Sheikh International Airport
'airport': 'Leonardo Da Vinci (Fiumicino),'airport': 'Fontanarossa
'airport': 'Sant Egidio,'airport': 'Fontanarossa
'airport': 'Brisbane International,'airport': 'Tontouta
'airport': 'Tolmachevo,'airport': 'Domodedovo
'airport': 'Tolmachevo,'airport': 'Sochi/Adler International Airport
'airport': 'Haneda Airport,'airport': 'Chitose
'airport': 'Haneda Airport,'airport': 'Chitose
'airport': Non,'airport': 'Nanjing Lukou International Airport
'airport': 'Hangzhou,'airport': 'Lijiang
'airport': 'Jeju Airport,'airport': 'Gimpo Airport
'airport': 'Jeju Airport,'airport': 'Gimpo Airport
'airport': 'Jeju Airport,'airport': 'Gimhae
'airport': 'Shuangliu,'airport': 'Xiamen
'airport': 'El Prat De Llobregat,'airport': 'Doha International
'airport': 'El Prat De Llobregat,'airport': 'Doha International
'airport': 'El Prat De Llobregat,'airport': 'Doha International
'airport': 'El Prat De Llobregat,'airport': 'Doha International
'airport': 'Son Sant Joan Airport,'airport': 'El Prat De Llobregat
'airport': 'Nanchang,'airport': 'Zhoushan
'airport': 'Nanchang,'airport': 'Zhoushan
'airport': 'Nanchang,'airport': 'Zhoushan
'airport': 'King Abdulaziz International,'airport': 'Dushanbe
'airport': 'Sam Mbakwe International,'airport': 'Murtala Muhammed
'airport': 'Zurich,'airport': 'Stuttgart Echterdingen
'airport': 'Zurich,'airport': 'Stuttgart Echterdingen
'airport': 'Zurich,'airport': 'Stuttgart Echterdingen
'airport': 'Exeter,'airport': 'George Best Belfast City
'airport': 'Skelleftea,'airport': 'Gran Canaria
'airport': 'John F Kennedy International,'airport': 'Ted Stevens Anchorage International Airport
'airport': 'Singapore Changi,'airport': 'Phuket International
'airport': 'Singapore Changi,'airport': 'Tan Son Nhat International
'airport': 'Singapore Changi,'airport': 'Tianhe International
'airport': 'Singapore Changi,'airport': 'Juanda
'airport': 'Larnaca,'airport': 'Macedonia International
'airport': 'Larnaca,'airport': 'Macedonia International
'airport': 'Larnaca,'airport': 'Macedonia International
'airport': 'Larnaca,'airport': 'Queen Alia International
'airport': 'Hangzhou,'airport': 'Daguocun
'airport': 'Istanbul Airport,'airport': Non
'airport': 'Suvarnabhumi International,'airport': 'Phnom Penh International
'airport': 'Fukuoka,'airport': 'Komatsu
'airport': 'Leonardo Da Vinci (Fiumicino),'airport': 'Istanbul Airport
'airport': 'Leonardo Da Vinci (Fiumicino),'airport': 'Istanbul Airport
'airport': 'Leonardo Da Vinci (Fiumicino),'airport': 'Istanbul Airport
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Avalon
'airport': 'Guiyang,'airport': 'Beijing Daxing International Airport
'airport': 'Taiyuan,'airport': 'Wenzhou
'airport': 'Taiyuan,'airport': 'Shanghai Hongqiao International
'airport': 'Heathrow,'airport': 'Linate
'airport': 'Heathrow,'airport': 'Linate
'airport': 'Schiphol,'airport': 'Linate
'airport': 'Schiphol,'airport': 'Linate
'airport': 'Schiphol,'airport': 'Linate
'airport': 'Schiphol,'airport': 'Linate
'airport': 'Schiphol,'airport': 'Linate
'airport': 'Adams Field Airport,'airport': 'Dallas/Fort Worth International
'airport': Non,'airport': 'Lijiang
'airport': Non,'airport': 'Lijiang
'airport': 'Kastrup,'airport': 'Abu Dhabi International
'airport': 'Aalborg,'airport': 'Kastrup
'airport': 'Nanjing Lukou International Airport,'airport': 'Changchun
'airport': 'Fort Lauderdale–Hollywood International,'airport': 'Lester B. Pearson International
'airport': 'Luis Munoz Marin International,'airport': 'Memphis International
'airport': 'Hercilio Luz,'airport': 'Congonhas International Airport
'airport': 'Nanning,'airport': Non
'airport': 'Cajamarca,'airport': 'Jorge Chavez International
'airport': 'Shuangliu,'airport': 'Daguocun
'airport': 'Shuangliu,'airport': 'Daguocun
'airport': 'Shuangliu,'airport': 'Daguocun
'airport': 'Shuangliu,'airport': 'Daguocun
'airport': 'Barajas,'airport': 'Peretola
'airport': 'Barajas,'airport': 'Peretola
'airport': 'Barajas,'airport': 'Peretola
'airport': 'London City Airport,'airport': 'Berlin Brandenburg Airport
'airport': 'Sydney Bankstown,'airport': 'Canberra
'airport': 'Haneda Airport,'airport': 'Shanghai Pudong International
'airport': 'Nanning,'airport': 'Ninoy Aquino International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Singapore Changi,'airport': 'Perth International
'airport': 'Kansai International,'airport': 'Shanghai Pudong International
'airport': 'Shanghai Pudong International,'airport': 'Shuangliu
'airport': 'Tontouta,'airport': 'Narita International Airport
'airport': 'Tontouta,'airport': 'Narita International Airport
'airport': 'Tontouta,'airport': 'Narita International Airport
'airport': 'Haneda Airport,'airport': 'Ninoy Aquino International
'airport': 'Haneda Airport,'airport': 'Ninoy Aquino International
'airport': 'Haneda Airport,'airport': 'Seoul (Incheon)
'airport': 'Kuala Lumpur International Airport (klia),'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)
'airport': 'Haneda Airport,'airport': 'Seoul (Incheon)
'airport': 'Wellington International,'airport': 'Auckland International
'airport': 'Tan Son Nhat International,'airport': 'Gimhae
'airport': 'Shenzhen,'airport': 'Noibai International
'airport': 'Vladivostok,'airport': 'Beijing Daxing International Airport
'airport': 'Shenzhen,'airport': 'Beijing Capital International
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Seoul (Incheon),'airport': 'Cam Ranh
'airport': 'Singapore Changi,'airport': 'Shanghai Pudong International
'airport': 'Singapore Changi,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Ngurah Rai International,'airport': 'Narita International Airport
'airport': 'Faleolo,'airport': 'Brisbane International
'airport': 'Seoul (Incheon),'airport': 'Ninoy Aquino International
'airport': 'Ninoy Aquino International,'airport': 'Perth International
'airport': 'Mactan-Cebu International,'airport': 'Seoul (Incheon)
'airport': 'Christchurch International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Tagbilaran,'airport': 'Gimhae
'airport': 'Tagbilaran,'airport': 'Gimhae
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Haneda Airport,'airport': 'Suvarnabhumi International
'airport': 'Hangzhou,'airport': 'Beijing Daxing International Airport
'airport': 'Soekarno-Hatta International,'airport': 'Ninoy Aquino International
'airport': 'Shenzhen,'airport': 'Noibai International
'airport': 'Shanghai Pudong International,'airport': 'Shenzhen
'airport': 'Shanghai Pudong International,'airport': 'Beijing Capital International
'airport': 'Shuangliu,'airport': 'Shenzhen
'airport': 'Auckland International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Auckland International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Auckland International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Auckland International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Auckland International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Auckland International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Auckland International,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Chongqing Jiangbei International,'airport': 'Nanjing Lukou International Airport
'airport': 'Wellington International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Dunedin International,'airport': 'Wellington International
'airport': 'Wellington International,'airport': 'Auckland International
'airport': 'Wellington International,'airport': 'Auckland International
'airport': 'Wellington International,'airport': 'Auckland International
'airport': 'Ngurah Rai International,'airport': 'Narita International Airport
'airport': 'Ngurah Rai International,'airport': 'Narita International Airport
'airport': 'Ngurah Rai International,'airport': 'Narita International Airport
'airport': 'Ngurah Rai International,'airport': 'Xiamen
'airport': 'Ngurah Rai International,'airport': 'Xiamen
'airport': 'Ngurah Rai International,'airport': 'Ninoy Aquino International
'airport': 'Ngurah Rai International,'airport': 'Ninoy Aquino International
'airport': 'Hong Kong International,'airport': 'Shanghai Pudong International
'airport': 'Tan Son Nhat International,'airport': 'Gimhae
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Soekarno-Hatta International,'airport': 'Sentani
'airport': 'Singapore Changi,'airport': 'Ninoy Aquino International
'airport': 'Mactan-Cebu International,'airport': 'Seoul (Incheon)
'airport': 'Kalibo,'airport': 'Seoul (Incheon)
'airport': 'Hangzhou,'airport': 'Shenzhen
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Perth International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Singapore Changi
